            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2449372.500000000, A.D. 1994-Jan-20 00:00:00.0000, -3.271827013867152E+08, -4.633010327815467E+07, -3.812842525334147E+08,
2449373.500000000, A.D. 1994-Jan-21 00:00:00.0000, -3.237800965174598E+08, -4.551896894085118E+07, -3.814840554643297E+08,
2449374.500000000, A.D. 1994-Jan-22 00:00:00.0000, -3.203987840689092E+08, -4.466918834668988E+07, -3.816816880574848E+08,
2449375.500000000, A.D. 1994-Jan-23 00:00:00.0000, -3.170394167171057E+08, -4.378122244926991E+07, -3.818771362432866E+08,
2449376.500000000, A.D. 1994-Jan-24 00:00:00.0000, -3.137026316478738E+08, -4.285553854063874E+07, -3.820703855922813E+08,
2449377.500000000, A.D. 1994-Jan-25 00:00:00.0000, -3.103890506964282E+08, -4.189260818272053E+07, -3.822614214314863E+08,
2449378.500000000, A.D. 1994-Jan-26 00:00:00.0000, -3.070992811870676E+08, -4.089290471609247E+07, -3.824502290328318E+08,
2449379.500000000, A.D. 1994-Jan-27 00:00:00.0000, -3.038339178364344E+08, -3.985690066813342E+07, -3.826367938876674E+08,
2449380.500000000, A.D. 1994-Jan-28 00:00:00.0000, -3.005935459153416E+08, -3.878506563069767E+07, -3.828211020570587E+08,
2449381.500000000, A.D. 1994-Jan-29 00:00:00.0000, -2.973787455161191E+08, -3.767786532144691E+07, -3.830031405541772E+08,
2449382.500000000, A.D. 1994-Jan-30 00:00:00.0000, -2.941900963285568E+08, -3.653576243959802E+07, -3.831828976851696E+08,
2449383.500000000, A.D. 1994-Jan-31 00:00:00.0000, -2.910281819918475E+08, -3.535921952239229E+07, -3.833603632667652E+08,
2449384.500000000, A.D. 1994-Feb-01 00:00:00.0000, -2.878935930766823E+08, -3.414870343729292E+07, -3.835355286632482E+08,
2449385.500000000, A.D. 1994-Feb-02 00:00:00.0000, -2.847869281089579E+08, -3.290469068434027E+07, -3.837083866337090E+08,
2449386.500000000, A.D. 1994-Feb-03 00:00:00.0000, -2.817087925900778E+08, -3.162767255857225E+07, -3.838789310283729E+08,
2449387.500000000, A.D. 1994-Feb-04 00:00:00.0000, -2.786597964180553E+08, -3.031815943952894E+07, -3.840471563982229E+08,
2449388.500000000, A.D. 1994-Feb-05 00:00:00.0000, -2.756405502996872E+08, -2.897668384574696E+07, -3.842130575802590E+08,
2449389.500000000, A.D. 1994-Feb-06 00:00:00.0000, -2.726516616909475E+08, -2.760380220568518E+07, -3.843766293027709E+08,
2449390.500000000, A.D. 1994-Feb-07 00:00:00.0000, -2.696937306484616E+08, -2.620009545470285E+07, -3.845378658360061E+08,
2449391.500000000, A.D. 1994-Feb-08 00:00:00.0000, -2.667673458457723E+08, -2.476616859809555E+07, -3.846967607021565E+08,
2449392.500000000, A.D. 1994-Feb-09 00:00:00.0000, -2.638730809527987E+08, -2.330264936746047E+07, -3.848533064546859E+08,
2449393.500000000, A.D. 1994-Feb-10 00:00:00.0000, -2.610114915700362E+08, -2.181018611142282E+07, -3.850074945356625E+08,
2449394.500000000, A.D. 1994-Feb-11 00:00:00.0000, -2.581831128940551E+08, -2.028944511967199E+07, -3.851593152157966E+08,
2449395.500000000, A.D. 1994-Feb-12 00:00:00.0000, -2.553884582261727E+08, -1.874110765036848E+07, -3.853087576135377E+08,
2449396.500000000, A.D. 1994-Feb-13 00:00:00.0000, -2.526280183210470E+08, -1.716586696559638E+07, -3.854558097790712E+08,
2449397.500000000, A.D. 1994-Feb-14 00:00:00.0000, -2.499022614433863E+08, -1.556442564611226E+07, -3.856004588206260E+08,
2449398.500000000, A.D. 1994-Feb-15 00:00:00.0000, -2.472116339055904E+08, -1.393749335966446E+07, -3.857426910476041E+08,
2449399.500000000, A.D. 1994-Feb-16 00:00:00.0000, -2.445565608261717E+08, -1.228578513003160E+07, -3.858824921082802E+08,
2449400.500000000, A.D. 1994-Feb-17 00:00:00.0000, -2.419374468778993E+08, -1.061002003477837E+07, -3.860198471075680E+08,
2449401.500000000, A.D. 1994-Feb-18 00:00:00.0000, -2.393546768672712E+08, -8.910920173149586E+06, -3.861547406999034E+08,
2449402.500000000, A.D. 1994-Feb-19 00:00:00.0000, -2.368086160813386E+08, -7.189209697675347E+06, -3.862871571617811E+08,
2449403.500000000, A.D. 1994-Feb-20 00:00:00.0000, -2.342996104419927E+08, -5.445613690432250E+06, -3.864170804570363E+08,
2449404.500000000, A.D. 1994-Feb-21 00:00:00.0000, -2.318279866197240E+08, -3.680856686744839E+06, -3.865444943154556E+08,
2449405.500000000, A.D. 1994-Feb-22 00:00:00.0000, -2.293940523784173E+08, -1.895660717337012E+06, -3.866693823511168E+08,
2449406.500000000, A.D. 1994-Feb-23 00:00:00.0000, -2.269980975348015E+08, -9.074288049364090E+04, -3.867917282485951E+08,
2449407.500000000, A.D. 1994-Feb-24 00:00:00.0000, -2.246403959706872E+08,  1.733187306284130E+06, -3.869115160379117E+08,
2449408.500000000, A.D. 1994-Feb-25 00:00:00.0000, -2.223212090403249E+08,  3.575430205420882E+06, -3.870287304565529E+08,
2449409.500000000, A.D. 1994-Feb-26 00:00:00.0000, -2.200407903705633E+08,  5.435297147397459E+06, -3.871433573570203E+08,
2449410.500000000, A.D. 1994-Feb-27 00:00:00.0000, -2.177993914590757E+08,  7.312109402196467E+06, -3.872553840717487E+08,
2449411.500000000, A.D. 1994-Feb-28 00:00:00.0000, -2.155972668576215E+08,  9.205194549037308E+06, -3.873647996209239E+08,
2449412.500000000, A.D. 1994-Mar-01 00:00:00.0000, -2.134346774920967E+08,  1.111388061605030E+07, -3.874715946720767E+08,
2449413.500000000, A.D. 1994-Mar-02 00:00:00.0000, -2.113118911141755E+08,  1.303748924403641E+07, -3.875757612359203E+08,
2449414.500000000, A.D. 1994-Mar-03 00:00:00.0000, -2.092291798407861E+08,  1.497532948600644E+07, -3.876772921723024E+08,
2449415.500000000, A.D. 1994-Mar-04 00:00:00.0000, -2.071868156548712E+08,  1.692669347288853E+07, -3.877761806310167E+08,
2449416.500000000, A.D. 1994-Mar-05 00:00:00.0000, -2.051850651236267E+08,  1.889085436886042E+07, -3.878724195423464E+08,
2449417.500000000, A.D. 1994-Mar-06 00:00:00.0000, -2.032241843873729E+08,  2.086706631793535E+07, -3.879660012226385E+08,
2449418.500000000, A.D. 1994-Mar-07 00:00:00.0000, -2.013044149886020E+08,  2.285456574807736E+07, -3.880569171077645E+08,
2449419.500000000, A.D. 1994-Mar-08 00:00:00.0000, -1.994259806719901E+08,  2.485257342118064E+07, -3.881451575954171E+08,
2449420.500000000, A.D. 1994-Mar-09 00:00:00.0000, -1.975890850433621E+08,  2.686029681174955E+07, -3.882307119681914E+08,
2449421.500000000, A.D. 1994-Mar-10 00:00:00.0000, -1.957939099150361E+08,  2.887693259690019E+07, -3.883135683743216E+08,
2449422.500000000, A.D. 1994-Mar-11 00:00:00.0000, -1.940406142044055E+08,  3.090166916536295E+07, -3.883937138517724E+08,
2449423.500000000, A.D. 1994-Mar-12 00:00:00.0000, -1.923293333132223E+08,  3.293368909643641E+07, -3.884711343878880E+08,
2449424.500000000, A.D. 1994-Mar-13 00:00:00.0000, -1.906601789497471E+08,  3.497217155172893E+07, -3.885458150088907E+08,
2449425.500000000, A.D. 1994-Mar-14 00:00:00.0000, -1.890332393513317E+08,  3.701629450227106E+07, -3.886177398921282E+08,
2449426.500000000, A.D. 1994-Mar-15 00:00:00.0000, -1.874485798326303E+08,  3.906523671137151E+07, -3.886868924914188E+08,
2449427.500000000, A.D. 1994-Mar-16 00:00:00.0000, -1.859062435480686E+08,  4.111817942167422E+07, -3.887532556644603E+08,
2449428.500000000, A.D. 1994-Mar-17 00:00:00.0000, -1.844062523386303E+08,  4.317430774830669E+07, -3.888168117926279E+08,
2449429.500000000, A.D. 1994-Mar-18 00:00:00.0000, -1.829486075445917E+08,  4.523281184321034E+07, -3.888775428873978E+08,
2449430.500000000, A.D. 1994-Mar-19 00:00:00.0000, -1.815332907096308E+08,  4.729288795212477E+07, -3.889354306838658E+08,
2449431.500000000, A.D. 1994-Mar-20 00:00:00.0000, -1.801602641726873E+08,  4.935373952232540E+07, -3.889904567289494E+08,
2449432.500000000, A.D. 1994-Mar-21 00:00:00.0000, -1.788294716373137E+08,  5.141457852605723E+07, -3.890426024792021E+08,
2449433.500000000, A.D. 1994-Mar-22 00:00:00.0000, -1.775408389189734E+08,  5.347462712838656E+07, -3.890918494295892E+08,
2449434.500000000, A.D. 1994-Mar-23 00:00:00.0000, -1.762942751866159E+08,  5.553311972650155E+07, -3.891381792979754E+08,
2449435.500000000, A.D. 1994-Mar-24 00:00:00.0000, -1.750896750992560E+08,  5.758930519181132E+07, -3.891815742862656E+08,
2449436.500000000, A.D. 1994-Mar-25 00:00:00.0000, -1.739269222114552E+08,  5.964244884675562E+07, -3.892220174216690E+08,
2449437.500000000, A.D. 1994-Mar-26 00:00:00.0000, -1.728058937667386E+08,  6.169183336905564E+07, -3.892594929450606E+08,
2449438.500000000, A.D. 1994-Mar-27 00:00:00.0000, -1.717264664377288E+08,  6.373675763375875E+07, -3.892939866623180E+08,
2449439.500000000, A.D. 1994-Mar-28 00:00:00.0000, -1.706885218271215E+08,  6.577653277258274E+07, -3.893254861329925E+08,
2449440.500000000, A.D. 1994-Mar-29 00:00:00.0000, -1.696919500420673E+08,  6.781047560691732E+07, -3.893539805789487E+08,
2449441.500000000, A.D. 1994-Mar-30 00:00:00.0000, -1.687366499231709E+08,  6.983790078966834E+07, -3.893794604762331E+08,
2449442.500000000, A.D. 1994-Mar-31 00:00:00.0000, -1.678225256433316E+08,  7.185811372022736E+07, -3.894019169159129E+08,
2449443.500000000, A.D. 1994-Apr-01 00:00:00.0000, -1.669494807589036E+08,  7.387040599859431E+07, -3.894213409057513E+08,
2449444.500000000, A.D. 1994-Apr-02 00:00:00.0000, -1.661174115237548E+08,  7.587405405732237E+07, -3.894377227806172E+08,
2449445.500000000, A.D. 1994-Apr-03 00:00:00.0000, -1.653262010460933E+08,  7.786832044551338E+07, -3.894510518122082E+08,
2449446.500000000, A.D. 1994-Apr-04 00:00:00.0000, -1.645757150759390E+08,  7.985245666303302E+07, -3.894613160200084E+08,
2449447.500000000, A.D. 1994-Apr-05 00:00:00.0000, -1.638657994514289E+08,  8.182570650454873E+07, -3.894685021320473E+08,
2449448.500000000, A.D. 1994-Apr-06 00:00:00.0000, -1.631962788176160E+08,  8.378730925513121E+07, -3.894725956329147E+08,
2449449.500000000, A.D. 1994-Apr-07 00:00:00.0000, -1.625669561495118E+08,  8.573650247097871E+07, -3.894735808506054E+08,
2449450.500000000, A.D. 1994-Apr-08 00:00:00.0000, -1.619776127128078E+08,  8.767252433614700E+07, -3.894714410545896E+08,
2449451.500000000, A.D. 1994-Apr-09 00:00:00.0000, -1.614280082470712E+08,  8.959461569884814E+07, -3.894661585545536E+08,
2449452.500000000, A.D. 1994-Apr-10 00:00:00.0000, -1.609178812834972E+08,  9.150202190334317E+07, -3.894577147993177E+08,
2449453.500000000, A.D. 1994-Apr-11 00:00:00.0000, -1.604469495866280E+08,  9.339399449538048E+07, -3.894460904791716E+08,
2449454.500000000, A.D. 1994-Apr-12 00:00:00.0000, -1.600149107369595E+08,  9.526979282878034E+07, -3.894312656342503E+08,
2449455.500000000, A.D. 1994-Apr-13 00:00:00.0000, -1.596214428626074E+08,  9.712868556351283E+07, -3.894132197689691E+08,
2449456.500000000, A.D. 1994-Apr-14 00:00:00.0000, -1.592662055019935E+08,  9.896995203438683E+07, -3.893919319699758E+08,
2449457.500000000, A.D. 1994-Apr-15 00:00:00.0000, -1.589488405563043E+08,  1.007928834857210E+08, -3.893673810242294E+08,
2449458.500000000, A.D. 1994-Apr-16 00:00:00.0000, -1.586689732867411E+08,  1.025967842024912E+08, -3.893395455354114E+08,
2449459.500000000, A.D. 1994-Apr-17 00:00:00.0000, -1.584262133371776E+08,  1.043809726071434E+08, -3.893084040408555E+08,
2449460.500000000, A.D. 1994-Apr-18 00:00:00.0000, -1.582201558194871E+08,  1.061447824155385E+08, -3.892739351367148E+08,
2449461.500000000, A.D. 1994-Apr-19 00:00:00.0000, -1.580503825813164E+08,  1.078875639356277E+08, -3.892361176247167E+08,
2449462.500000000, A.D. 1994-Apr-20 00:00:00.0000, -1.579164638701211E+08,  1.096086855278380E+08, -3.891949306974580E+08,
2449463.500000000, A.D. 1994-Apr-21 00:00:00.0000, -1.578179606821142E+08,  1.113075351031944E+08, -3.891503541768934E+08,
2449464.500000000, A.D. 1994-Apr-22 00:00:00.0000, -1.577544280813545E+08,  1.129835213064311E+08, -3.891023688083090E+08,
2449465.500000000, A.D. 1994-Apr-23 00:00:00.0000, -1.577254196001913E+08,  1.146360737494335E+08, -3.890509565835576E+08,
2449466.500000000, A.D. 1994-Apr-24 00:00:00.0000, -1.577304924041337E+08,  1.162646414637111E+08, -3.889961010247576E+08,
2449467.500000000, A.D. 1994-Apr-25 00:00:00.0000, -1.577692122588356E+08,  1.178686888720960E+08, -3.889377873184597E+08,
2449468.500000000, A.D. 1994-Apr-26 00:00:00.0000, -1.578411567729621E+08,  1.194476892600099E+08, -3.888760021849567E+08,
2449469.500000000, A.D. 1994-Apr-27 00:00:00.0000, -1.579459154233244E+08,  1.210011168453285E+08, -3.888107334303764E+08,
2449470.500000000, A.D. 1994-Apr-28 00:00:00.0000, -1.580830858112497E+08,  1.225284394781317E+08, -3.887419692503917E+08,
2449471.500000000, A.D. 1994-Apr-29 00:00:00.0000, -1.582522670673972E+08,  1.240291139922896E+08, -3.886696974636842E+08,
2449472.500000000, A.D. 1994-Apr-30 00:00:00.0000, -1.584530523697644E+08,  1.255025851519188E+08, -3.885939048734125E+08,
